394677,Demetris,25,966990
396499,Jessy,44,1.00372e+06
431575,Eve,70,1.3171e+06
529792,Fayre,24,1.34222e+06
549012,Marline,47,610224
790871,Ariela,35,344416
904669,Roseline,46,874773
959999,Magdalena,56,760014
969016,Queenie,53,646797
5189,Sadie,40,1.24512e+06
37663,Yetty,54,755801
100100,Hildegaard,57,1.21309e+06
171142,Ethel,21,769516
205706,Gerrie,48,830072
270003,Olwen,60,1.15046e+06
274303,Tracey,51,118434
353080,Max,63,538288
359653,Karly,19,662444
390428,Quintina,24,372461
395397,Esmeralda,34,1.06944e+06
452984,Hermione,69,281097
460068,Violet,40,331804
475287,Agathe,50,1.21485e+06
569526,Lory,50,885821
609320,Dania,64,954465
754882,Mara,51,1.39883e+06
818242,Cathie,64,104466
819406,Glynnis,52,1.33154e+06
924858,Codie,26,983933
977127,Eolanda,48,76218
987146,Lauryn,19,790682
29161,Grier,60,567354
44983,Rubie,29,362211
51162,Grier,50,944359
190957,Romona,71,578038
228051,Teriann,30,339778
277170,Berget,20,444311
291106,Shaine,55,881402
353762,Mamie,67,478013
436180,Kirbee,45,349345
436217,Joy,68,1.3776e+06
467246,Margarette,63,88698
536302,Amelia,68,1.1915e+06
549647,Merle,50,509906
601679,Sherrie,55,503537
706485,Sallie,33,796354
730618,Valera,37,917736
749665,Letizia,67,61170
778872,Jasmina,47,894550
827949,Stephanie,57,119925
831395,Eugine,51,939346
845047,Ulrike,44,887293
890569,Heida,63,1.23659e+06
42756,Brooks,31,450411
93875,Di,52,1.00072e+06
130795,Dyann,28,739668
133421,Corry,21,48488
157774,Oona,68,1.20845e+06
173849,Willetta,41,843275
288955,Florie,18,1.03951e+06
289265,Elsie,24,612208
327450,Mariele,40,622485
353458,Gretal,52,895030
369947,Feliza,28,1.05515e+06
386233,Kirbee,65,936072
486177,Annabela,71,877902
584563,Florencia,64,627982
652329,Bill,36,759781
670848,Alejandra,59,213066
711760,Leeanne,30,561917
754994,Celene,43,588836
846389,Alie,60,1.10587e+06
857080,Jeanna,64,59716
905544,Desirae,43,1.37156e+06
986634,Oralee,18,129144
4719,Marjie,72,254418
125008,Joane,55,1.1569e+06
131617,Siana,59,1.38535e+06
290331,Teriann,67,82792
296807,Averyl,33,112742
310839,Christian,35,485547
359214,Nickie,25,645124
382328,Dacia,58,1.25537e+06
452793,Ariela,20,164772
470798,Fayre,72,831920
478013,Maye,19,436713
479658,Nariko,21,761026
598993,Dorothy,51,312552
642595,Dorthy,63,164802
757307,Xylina,70,1.11598e+06
784652,Binny,64,523962
835595,Peri,30,1.30514e+06
855446,Annice,60,199193
869375,Frances,35,50818
882527,Linzy,33,800719
903925,Rivalee,67,684620
947324,Wendi,27,220892
29744,Deane,27,726583
48328,Marcelline,48,1.21112e+06
70750,Bobbi,22,984059
86248,Ethel,65,1.01456e+06
99473,Charlena,28,751200
138682,Ida,35,962930
179687,Rochette,62,959880
247875,Lindie,56,655555
280067,Ingrid,21,534406
292090,Cassondra,48,445291
310774,Catharine,34,573528
341311,Clementine,56,1.28292e+06
393955,Codie,43,410275
502349,Gwenneth,50,100369
534271,Tierney,34,852873
632676,Mignon,59,909453
659813,Kara-Lynn,28,492536
747666,Hayley,55,529307
758461,Thalia,50,1.10196e+06
770795,Caritta,61,1.23e+06
862554,Dorothy,50,875126
973573,Dorothy,29,554445
61678,Melina,60,1.32575e+06
66166,Bibby,20,792292
79384,Dennie,63,913409
83880,Flo,62,1.37705e+06
135522,Suzette,19,253152
195381,Olwen,34,1.00107e+06
199701,Jan,35,1.04234e+06
207415,Hope,45,828625
274963,Tiffie,42,442165
354277,Maridel,43,733517
428819,Dorthy,33,740896
490901,Paulita,47,999303
525258,Willetta,41,145740
529753,Laure,61,946827
559616,Dianemarie,64,1.00061e+06
581710,Evita,53,635319
582681,Maye,25,445775
630506,Aurore,30,433894
646585,Brana,25,1.15624e+06
711610,Ivett,55,396968
922078,Nariko,33,190103
989843,Shirlee,44,176524
25954,Modestia,59,1.28606e+06
60259,Margarette,25,203480
88985,Nannie,55,255622
165675,Emilia,49,64291
255424,Maisey,67,313447
259487,Correy,41,737006
295731,Alie,45,597003
298797,Consuela,22,1.32978e+06
326408,Queenie,29,1.02048e+06
405053,Gusella,40,1.24391e+06
426128,Consuela,71,480537
452143,Meg,18,190705
482356,Shandie,64,275733
514456,Albertina,59,1.12525e+06
556241,Briney,28,1.30092e+06
577266,Donnie,33,621938
858400,Tarra,57,815844
873080,Di,69,962104
885620,Andeee,49,584442
908965,Melisent,59,85485
937670,Fina,20,956150
960851,Odessa,43,436610
36428,Marcelline,46,1.21973e+06
56073,Cherilyn,54,401676
111365,Dede,46,1.12715e+06
310515,Leia,51,1.10009e+06
329931,Bee,44,937401
348234,Dari,31,287343
377872,Shandie,68,1.23481e+06
388595,Annora,63,1.20427e+06
407432,Nanete,65,636255
569816,Dominga,51,41191
664836,Eugine,60,41752
728760,Deirdre,51,771611
734051,Hope,49,614363
747877,Celisse,57,269482
762639,Chastity,38,751554
767705,Kore,30,632506
794884,Kara-Lynn,46,640110
822192,Robbi,28,1.02653e+06
925097,Ilse,57,164453
925780,Marline,29,1.31031e+06
941158,Carol-Jean,32,931827
943743,Gilda,52,1.21484e+06
118345,Jordan,32,935851
225780,Aaren,19,168194
263804,Jenda,56,1.05493e+06
323391,Jobi,36,54806
326160,Tierney,28,763891
333332,Roz,58,1.09007e+06
347659,Brandise,39,1.33657e+06
400188,Amelia,25,884023
447969,Edith,24,609416
456593,Quintina,53,949646
486512,Joeann,49,873447
488017,Yolane,24,734979
542925,Annabela,35,583620
588852,Renae,24,285781
599911,Aeriela,68,1.1693e+06
618905,Atlanta,60,1.2373e+06
640211,Christian,37,1.20038e+06
693300,Roz,43,251467
778891,Ulrike,71,917192
834204,Riannon,66,91828
861594,Robinia,57,191420
984090,Mignon,44,1.21631e+06
13075,Fayre,35,720375
31956,Kial,60,1.11279e+06
265405,Fina,19,1.2669e+06
339400,Sam,59,926241
378765,Doro,72,785668
380336,Reeba,48,693268
425437,Kirstin,50,167439
438311,Marleah,39,1.26236e+06
444201,Zondra,47,1.22962e+06
459422,Madeleine,64,139047
509352,Ardenia,26,1.11354e+06
524465,Asia,54,637504
534379,Celestyna,44,55956
641239,Margalo,59,1.04597e+06
715124,Edith,21,832552
754186,Katuscha,34,238843
762973,Peri,30,342712
818919,Daune,57,1.10856e+06
904913,Trixi,59,453410
922639,Marjie,21,997663
925313,Zondra,34,1.01276e+06
984194,Suzette,39,632245
211820,Estell,70,152832
264792,Allis,39,784459
296383,Theodora,18,895397
320390,Oona,53,381901
341521,Brooks,50,461989
362341,Adriana,23,85697
387499,Margalo,41,805811
465532,Taffy,43,529322
480804,Lulita,42,328966
549804,Ulrike,52,447746
554788,Lesly,34,1.24097e+06
610439,Ida,50,692006
618805,Michaelina,52,565181
692394,Gusty,68,536728
727206,Fayre,53,900037
759705,Teriann,70,1.15375e+06
800140,Tamqrah,46,547161
821666,Sara-Ann,62,987392
879613,Marika,46,889361
893329,Vere,55,1.30549e+06
915029,Candy,57,403176
967667,Genevra,48,165554
30811,Wanda,40,843931
111625,Zsa Zsa,53,304198
119667,Nyssa,43,303075
121410,Carmencita,62,1.38816e+06
122419,Layla,58,438229
140644,Marylou,71,1.22722e+06
235148,Catrina,26,750438
259187,Brooks,23,504918
304263,Barbi,69,1.09976e+06
310458,Gratia,30,1.05082e+06
334332,Beth,45,267563
352426,Sheelagh,36,336556
455519,Helsa,31,1.39252e+06
530094,Chastity,27,1.35193e+06
568576,Alexine,31,639309
704423,Amelia,51,113038
715751,Danika,21,257227
725590,Celestyna,68,846201
741668,Eugine,38,404867
874692,Halette,71,809274
979258,Carly,60,934580
989387,Evita,68,931091
38545,Sindee,69,480818
89669,Chickie,26,302450
103742,Elsie,27,364160
221247,Romona,49,1.38215e+06
280560,Jorry,31,1.11385e+06
283884,Kary,66,858840
294215,Babita,42,517146
342106,Katharina,50,1.08043e+06
342284,Gertrud,56,583781
370449,Collen,56,594204
373134,Heida,54,778737
474942,Jenilee,61,1.2448e+06
571997,Caritta,55,493550
574313,Bettine,37,567843
620697,Annabela,36,570401
643903,Lizzie,37,451979
653474,Mady,59,562517
725650,Dotty,48,1.27148e+06
781180,Claresta,26,651378
837934,Susette,28,875703
907216,Isa,51,578196
973416,Marleah,30,1.09002e+06
24597,Justinn,40,1.33177e+06
88778,Marsiella,28,1.17012e+06
102818,Marti,43,278520
283745,Marti,33,502330
398470,Lita,41,390910
406381,Katuscha,62,294803
559600,Nadine,62,1.05095e+06
643903,Lizzie,37,451979
649351,Yvonne,35,1.00272e+06
653474,Mady,59,562517
679744,Jennica,35,608630
716859,Aubrie,40,225247
725650,Dotty,48,1.27148e+06
765432,Valli,24,660864
780895,Averyl,41,803024
781180,Claresta,26,651378
783465,Carree,60,686134
814644,Dotty,26,189260
837934,Susette,28,875703
907216,Isa,51,578196
973416,Marleah,30,1.09002e+06
994156,Raquela,60,1.16233e+06
